Малиновка;53.849964, 27.474631
Петровщина;53.864667, 27.486104
Михалово;53.876700, 27.496804
Грушевка;53.886694, 27.514791
Институт культуры;53.886235, 27.537621
Площадь Ленина;53.891826, 27.548380
Октябрьская;53.902111, 27.561977
Площадь Победы;53.909188, 27.575832
Площадь Якуба Коласа;53.915784, 27.583947
Академия наук;53.921937, 27.599119
Парк Челюскинцев;53.924289, 27.613478
Московская;53.928013, 27.627805
Восток;53.934510, 27.651417
Борисовский тракт;53.938540, 27.665841
Уручье;53.945486, 27.687974
------------
Каменная горка;53.906931, 27.436488
Кунцевщина;53.906256, 27.453883
Спортивная;53.908562, 27.480801
Пушкинская;53.909547, 27.495556
Молодёжная;53.906407, 27.523744
Фрунзенская;53.905349, 27.539398
Немига;53.905790, 27.554043
Купаловская;53.900881, 27.561758
Первомайская;53.893809, 27.570289
Пролетарская;53.890461, 27.585401
Тракторный завод;53.889975, 27.614493
Партизанская;53.875776, 27.628972
Автозаводская;53.869433, 27.647169
Могилёвская;53.861936, 27.674359
