activeCarHere,capacity,carsList,distance,id,inactive,latitude,longitude,modelsList,parkingAddress,showMarker,timestamp,total_cars,typeId
true,,[53],4.6,63016480,false,32.04349,34.78069,[10],"[{'languageId': 0, 'text': 'אחרון 21, תל אביב יפו, ישראל'}, {'languageId': 1, 'text': 'Aharon St 21, Tel Aviv-Yafo, Israel'}]",true,2019-01-10 09:09:43.245166 UTC,1,
true,,[53],4.6,84487389,false,32.04349,34.78069,[10],"[{'languageId': 0, 'text': 'אחרון 21, תל אביב יפו, ישראל'}, {'languageId': 1, 'text': 'Aharon St 21, Tel Aviv-Yafo, Israel'}]",true,2019-01-10 09:11:48.173801 UTC,1,
true,,[53],4.6,46688801,false,32.04349,34.78069,[10],"[{'languageId': 0, 'text': 'אחרון 21, תל אביב יפו, ישראל'}, {'languageId': 1, 'text': 'Aharon St 21, Tel Aviv-Yafo, Israel'}]",true,2019-01-10 09:13:53.222656 UTC,1,
true,,[53],4.6,18964470,false,32.04349,34.78069,[10],"[{'languageId': 0, 'text': 'אחרון 21, תל אביב יפו, ישראל'}, {'languageId': 1, 'text': 'Aharon St 21, Tel Aviv-Yafo, Israel'}]",true,2019-01-10 09:15:58.332911 UTC,1,
true,,[53],4.6,83417014,false,32.04349,34.78069,[10],"[{'languageId': 0, 'text': 'אחרון 21, תל אביב יפו, ישראל'}, {'languageId': 1, 'text': 'Aharon St 21, Tel Aviv-Yafo, Israel'}]",true,2019-01-10 09:18:03.222304 UTC,1,
true,,[53],4.6,46403952,false,32.04349,34.78069,[10],"[{'languageId': 0, 'text': 'אחרון 21, תל אביב יפו, ישראל'}, {'languageId': 1, 'text': 'Aharon St 21, Tel Aviv-Yafo, Israel'}]",true,2019-01-10 09:20:08.376585 UTC,1,
true,,[53],4.6,53963267,false,32.04349,34.78069,[10],"[{'languageId': 0, 'text': 'אחרון 21, תל אביב יפו, ישראל'}, {'languageId': 1, 'text': 'Aharon St 21, Tel Aviv-Yafo, Israel'}]",true,2019-01-10 09:22:13.258390 UTC,1,
true,,[53],4.6,94743906,false,32.04349,34.78069,[10],"[{'languageId': 0, 'text': 'אחרון 21, תל אביב יפו, ישראל'}, {'languageId': 1, 'text': 'Aharon St 21, Tel Aviv-Yafo, Israel'}]",true,2019-01-10 09:24:18.319220 UTC,1,
true,,[53],4.6,44102298,false,32.04349,34.78069,[10],"[{'languageId': 0, 'text': 'אחרון 21, תל אביב יפו, ישראל'}, {'languageId': 1, 'text': 'Aharon St 21, Tel Aviv-Yafo, Israel'}]",true,2019-01-10 09:26:23.223627 UTC,1,
true,,[53],4.6,9682669,false,32.04349,34.78069,[10],"[{'languageId': 0, 'text': 'אחרון 21, תל אביב יפו, ישראל'}, {'languageId': 1, 'text': 'Aharon St 21, Tel Aviv-Yafo, Israel'}]",true,2019-01-10 09:28:28.036968 UTC,1,
